ad,grup,fiyat_eur,vadeli_fiyat_eur
ARA PARÇA,DİŞ TEDAVİLERİ,90,40
BİTİM RANDEVUSU,DİŞ TEDAVİLERİ,0,0
BOTOX,DİŞ TEDAVİLERİ,0,120
DETERTRAJ - DİŞ TAŞI TEMİZLİĞİ,DİŞ TEDAVİLERİ,70,75
DİŞ BEYAZLATMA,DİŞ TEDAVİLERİ,300,300
DİŞ ÇEKİMİ,DİŞ TEDAVİLERİ,20,40
DİŞ PROVASI,DİŞ TEDAVİLERİ,0,0
DOLGU,DİŞ TEDAVİLERİ,30,30
E MAX KAPLAMA,DİŞ TEDAVİLERİ,270,270
GECE PLAĞI,DİŞ TEDAVİLERİ,250,150
GEÇİCİ DİŞ,DİŞ TEDAVİLERİ,10,10
GÖRÜŞME KONTROL RANDEVUSU,DİŞ TEDAVİLERİ,0,0
İMPLANT (IMPLANTSWISS),DİŞ TEDAVİLERİ,300,300
İMPLANT NEODENT STRAUMAN,DİŞ TEDAVİLERİ,350,350
İMPLANT STRAUMAN,DİŞ TEDAVİLERİ,700,700
İMPLANT TEDAVİLERİ,DİŞ TEDAVİLERİ,0,0
İMPLANT(MEGAGEN),DİŞ TEDAVİLERİ,250,250
KANAL TEDAVİSİ,DİŞ TEDAVİLERİ,70,70
KEMİK TOZU GREFT,DİŞ TEDAVİLERİ,250,250
KÜRETAJ - DİŞ ETİ BAKIMI,DİŞ TEDAVİLERİ,350,350
LAMİNE KAPLAMA,DİŞ TEDAVİLERİ,240,240
MEBRANLI GREFT UYGULAMASI,DİŞ TEDAVİLERİ,400,400
OTEL - ANTWELL SUITS - GECELİK,Otel & Konaklama,75,75
OTEL - GRAND MİRA OTEL KARTAL,Otel & Konaklama,65,65
OTEL - MARMARA ELİTE BOSPHORUS - GECELİK,Otel & Konaklama,65,65
PORSELEN DİŞ KAPLAMA,DİŞ TEDAVİLERİ,130,130
PORSELEN İMPLANT ÜSTÜ,DİŞ TEDAVİLERİ,140,140
RÖNTGEN,DİŞ TEDAVİLERİ,100,100
SEDASYON,DİŞ TEDAVİLERİ,400,400
SİNÜS LİFTİNG + GREFT (1BÖLGE),DİŞ TEDAVİLERİ,350,350
TOMOGRAFİ,DİŞ TEDAVİLERİ,200,200
TRANSFER,Transfer Hizmetleri,20,20
ZİRKONYUM DİŞ KAPLAMA,DİŞ TEDAVİLERİ,160,160
ZİRKONYUM İMPLANT ÜSTÜ,DİŞ TEDAVİLERİ,160,160
ZİRKONYUM KAPLAMA TEDAVİSİ,DİŞ TEDAVİLERİ,0,0
