Gider kalemi,Ne için?,Ayda yaklaşık (₺),Zorunlu mu?
Türkiye sunucu,"Program 7/24 çalışsın, veri Türkiye'de kalsın",170,Evet
İnternet sitesi barındırma,nefalixai.com ve panel,760,Evet
Yapay zeka kullanımı,Taslak mesaj ve yorum analizi,1.500,Evet
WhatsApp resmi hat (ileride),Yasal ticari mesaj,2.000,Satış başlayınca
Hukuk / KVKK,"Sözleşme, aydınlatma metni",2.500,Evet
İYS kayıt,Ticari mesaj izin sistemi,500,Satış öncesi
Yazılımcı (yarı zaman),Programı geliştirme,45.000,Önerilen
Satışçı (yarı zaman),"Klinik ziyareti, demo",30.000,5. müşteriden önce
,PİLOT TOPLAM (yazılımcı hariç),~6.000,
,SATIŞA HAZIR TOPLAM (yazılımcı dahil),~82.000,
